neg_nil_inc_non_fam_househlds, hi_1250_1499_tot, all_incomes_ns_famly_househld, hi_1500_1749_fam_households, hi_4000_more_tot, hi_400_499_family_households, hi_400_499_non_fam_househlds, hi_650_799_tot, part_inc_stated_fam_household, gcc_code16, hi_800_999_non_fam_hsehlds, tot_family_households, hi_1000_1249_fam_households, hi_3500_3999_fam_households, gcc_name16, hi_1_149_non_family_hseholds, hi_800_999_fam_households, hi_3500_3999_non_fam_hsehlds, hi_500_649_non_fam_househlds, hi_2000_2499_tot, hi_1750_1999_non_fam_hsehlds, hi_400_499_tot, hi_4000_more_fam_households, hi_1250_1499_non_fam_hsehlds, hi_1250_1499_fam_households, hi_1000_1249_tot, hi_1000_1249_non_fam_hsehlds, hi_500_649_family_households, hi_2000_2499_fam_households, part_inc_std_non_fam_hhds, negative_nil_income_tot, hi_1500_1749_tot, hi_3000_3499_fam_households, partial_income_stated_tot, hi_650_799_non_fam_househlds, hi_3500_3999_tot, hi_500_649_tot, hi_2500_2999_fam_households, hi_150_299_tot, hi_150_299_non_fam_househlds, hi_2500_2999_non_fam_hsehlds, hi_300_399_family_households, hi_4000_more_non_fam_hsehlds, all_incomes_not_stated_tot, tot_non_family_households, hi_1500_1749_non_fam_hsehlds, hi_150_299_family_households, hi_1750_1999_tot, hi_800_999_tot, hi_300_399_non_fam_househlds, hi_2500_2999_tot, all_inc_ns_non_famly_househld, hi_1_149_family_households, hi_3000_3499_non_fam_hsehlds, hi_2000_2499_non_fam_hsehlds, tot_tot, hi_1_149_tot, hi_3000_3499_tot, neg_nil_inc_fam_households, hi_300_399_tot, hi_1750_1999_fam_households, hi_650_799_family_households
17904,104948,14667,67503,177046,25287,54840,88837,114132,"1GSYD",31850,1195662,77180,65761,"Greater Sydney",5861,56133,19617,29825,180561,19725,80124,170200,27061,77891,112315,35133,26040,146785,14269,31093,91914,79082,128403,27071,85378,55864,109457,28588,20148,6525,7064,6847,32388,428213,24416,8435,89461,87978,31456,115985,17725,5362,4171,33775,1623872,11220,83249,13187,38521,69731,61761
6639,73589,12456,43109,37424,22560,63817,90098,66772,"1RNSW",25900,678869,62277,18921,"Rest of NSW",4016,48663,4470,29547,87797,8327,86384,36670,14566,59027,85408,23127,22396,76944,5494,11705,53975,30648,72263,24640,23385,51948,50341,23009,17685,1581,5490,754,30562,301570,10865,5327,51601,74564,30398,51918,18104,3478,790,10858,980442,7492,31441,5066,35889,43273,65464
21319,114121,17010,70950,119316,26590,57738,96186,106060,"2GMEL",36772,1129553,82729,50116,"Greater Melbourne",6779,61073,13874,33456,175086,19569,84325,115498,31307,82814,123356,40629,27212,145241,14313,35455,97103,66638,120368,30618,63992,60663,103069,30323,21152,5772,7366,3824,34924,444918,26151,9167,91798,97850,30499,108836,17916,6089,3392,29851,1574474,12873,70029,14140,37866,72231,65568
3960,42042,7414,24637,15866,12945,35273,49617,35446,"2RVIC",15693,365732,35024,8181,"Rest of Vic.",2529,27719,2241,17616,47174,4190,48212,15510,8668,33376,48855,13834,12646,42073,2707,7016,30984,14070,38157,14730,10416,30260,25793,13466,10421,870,3101,355,18106,172499,6344,3041,28825,43411,16914,26666,10688,2176,368,5099,538228,4704,14435,3055,20013,24639,34887
6081,58752,6708,36928,56580,12017,31811,50559,52514,"3GBRI",18513,574438,43091,25872,"Greater Brisbane",2493,31772,5421,18244,89969,9225,43830,54961,15037,43711,63338,20250,14016,76037,7607,10782,49779,35992,60120,15530,31296,32262,53978,12458,8949,3157,3345,1622,14899,215030,12853,3513,47184,50285,14372,57138,8188,2278,1750,13928,789464,4768,37748,4697,17719,37962,35030
6353,67070,10128,40143,35588,18289,45824,72987,64296,"3RQLD",22659,615423,53542,18564,"Rest of Qld",3208,41436,4509,23778,85834,8039,64109,34449,14534,52541,75415,21873,19324,74446,6764,11899,51346,28983,71063,20641,23069,43102,48453,17839,13267,2174,4545,1133,23085,251949,11204,4567,48651,64093,20548,50627,12958,3221,1089,11391,867368,6421,30069,5550,25097,40612,52346
4275,37582,3945,22746,22074,9362,27495,39331,31076,"4GADE",14287,338181,29946,10737,"Greater Adelaide",2159,23146,2515,14523,48471,5173,36856,21640,9033,28550,43998,14055,10491,42161,3320,7069,30109,17363,34393,12443,13248,25015,28264,11806,9217,958,2461,435,10109,154273,7363,2582,27555,37428,14009,29222,6163,1633,551,6315,492448,3793,17908,2796,16476,22383,26892
1000,11426,1879,6282,3311,4055,10864,15275,9775,"4RSAU",4046,98639,9947,1734,"Rest of SA",704,8107,562,4756,11708,1040,14921,3245,2129,9295,13565,3625,3701,10415,517,1718,7823,3248,10298,3999,2295,8451,6085,4353,3462,167,933,69,4611,47705,1545,893,7467,12158,5112,6256,2731,620,88,1290,146344,1324,3331,716,6046,6427,11277
5889,46024,5788,28882,58881,10773,26507,40129,58620,"5GPER",14554,503642,33524,25997,"Greater Perth",2519,24252,6100,14447,78158,8849,37282,57258,13040,32988,50477,16956,11449,64220,6208,10861,40203,31328,64826,11989,32098,25897,46283,12632,8936,2191,3226,1624,12938,186642,11318,3695,38796,38806,13035,48471,7155,2300,1390,13935,690280,4821,32718,4973,16264,29948,28138
1345,11745,2364,7095,10227,3689,8102,12860,16211,"5RWAU",3940,126238,8930,5051,"Rest of WA",738,7046,1412,4005,18785,2138,11794,9903,2939,8807,13090,4163,3596,15224,1155,2414,9667,6927,17361,3563,6463,7596,10430,3805,2759,397,1057,326,5056,50254,2577,1045,9927,10986,4228,10825,2695,706,218,3557,176495,1441,7145,1074,5286,7792,9301
522,6789,695,3983,3284,1547,5187,6884,5275,"6GHOB",2635,57405,5200,1820,"Greater Hobart",350,4048,379,2876,8279,918,6731,3227,1682,5109,7829,2630,1970,7263,674,863,5337,2871,5947,2387,2196,4848,4610,1942,1514,155,479,56,1976,28216,1355,424,4784,6687,2527,4768,1277,183,87,1020,85630,529,2962,341,2999,3864,4500
756,8570,1329,5082,2342,3150,8712,11905,7262,"6RTAS",3197,75163,7662,1306,"Rest of Tas.",482,6269,362,3839,8604,801,11862,2292,1527,7041,10368,2702,3156,7806,539,1244,6263,2313,7796,3041,1668,6993,4533,3418,2742,116,760,51,3252,36788,1181,679,5575,9466,3986,4651,1929,397,37,792,111949,875,2354,493,4746,4779,8863
238,2566,444,1546,5549,408,774,1327,3642,"7GDAR",785,31515,1338,2395,"Greater Darwin",87,866,646,498,5710,808,1176,5203,1001,1564,2412,1073,409,4374,579,401,2433,2801,4224,553,3040,902,3452,443,304,284,150,350,890,11527,891,132,2585,1652,658,3734,447,74,214,1338,43043,165,3020,160,805,1775,781
141,1621,680,849,1198,582,391,1159,2136,"7RNTE",501,15881,1010,648,"Rest of NT",94,868,172,303,2465,437,974,1130,579,1042,1626,621,428,1876,196,231,1328,921,2337,403,818,735,1425,560,284,86,131,68,1044,6131,477,277,1336,1371,360,1513,364,129,56,594,22013,222,984,94,491,907,755
922,9462,681,5226,18060,1236,3532,5392,9111,"8ACTE",3149,100308,4959,7630,"Australian Capital Territory",456,3212,1827,2464,18642,2659,4763,17565,3869,5597,8986,4024,1381,13190,1377,1417,8995,9127,10488,2516,9457,3843,11353,1826,1375,759,461,493,1726,42355,3767,449,8179,6361,2216,12111,1045,239,450,5446,142664,701,9580,494,2675,5518,2872
9,105,24,67,59,21,60,84,114,"9OTER",34,980,98,25,"Other Territories",8,58,10,43,156,16,78,59,20,89,127,28,24,124,3,15,88,42,120,38,36,68,71,26,21,4,3,0,42,383,21,10,83,99,25,77,21,7,0,34,1360,12,42,4,30,67,50
