sa4_code,sa4_name,1-149,1000-1249,2000-2499,3000-3499,4000more
201,Ballarat,475,5351,5162,1577,1748
202,Bendigo,496,5347,5203,1649,1703
203,Geelong,781,8870,10426,3657,4432
204,Hume,529,5895,5659,1650,1554
205,Latrobe - Gippsland,1021,9406,8186,2426,2904
206,Melbourne - Inner,2687,16426,27557,11297,26521
207,Melbourne - Inner East,1306,8604,12646,5995,17847
208,Melbourne - Inner South,1213,10037,15414,7460,19665
209,Melbourne - North East,1245,13577,19535,7740,10091
210,Melbourne - North West,916,10099,13004,4992,5804
211,Melbourne - Outer East,1138,14162,20531,8373,10870
212,Melbourne - South East,1873,20997,28067,9795,11641
213,Melbourne - West,1762,20082,27551,10577,12023
214,Mornington Peninsula,732,9380,10784,3799,4859
215,North West,553,5249,4408,1180,1167
216,Shepparton,381,4395,4111,1141,1141
217,Warrnambool and South West,471,4341,4019,1147,1211
