sa4_code,for_rent_2021,sa4_name,for_sale_2021,for_sold_2021,for_sale_2016,for_rent_2016,for_sold_2016,for_sold_rise,for_sale_rise,for_rent_rise
201,366.5217,Ballarat,530843.3,552523.4,331621.0,285.9346,329357.8,223165.60000000003,199222.30000000005,80.58710000000002
202,394.894,Bendigo,542164.4,559029.4,364516.3,305.8454,366386.5,192642.90000000002,177648.10000000003,89.04860000000002
203,442.0354,Geelong,663374.6,804206.6,437313.9,347.7179,473401.5,330805.1,226060.69999999995,94.3175
204,389.1128,Hume,522018.5,499937.5,332972.6,298.7796,311245.3,188692.2,189045.90000000002,90.33319999999998
205,374.029,Latrobe - Gippsland,500735.9,480792.3,315320.8,279.3152,304190.4,176601.89999999997,185415.10000000003,94.71379999999999
206,597.3563,Melbourne - Inner,1349954.0,1552353.0,969058.2,576.8033,1214110.0,338243.0,380895.80000000005,20.552999999999997
207,588.0215,Melbourne - Inner East,1539446.0,1793009.0,1275319.0,552.1478,1478419.0,314590.0,264127.0,35.873699999999985
208,652.9947,Melbourne - Inner South,1409419.0,1649829.0,1011234.0,594.3088,1248380.0,401449.0,398185.0,58.68589999999995
209,428.4673,Melbourne - North East,664947.3,861131.4,469568.3,382.052,639053.8,222077.59999999998,195379.00000000006,46.4153
210,415.3904,Melbourne - North West,627806.8,740880.1,441238.7,372.4181,557071.4,183808.69999999995,186568.10000000003,42.97230000000002
211,470.4461,Melbourne - Outer East,868564.8,961645.1,618716.8,408.5021,707836.1,253809.0,249848.0,61.94400000000002
212,440.1349,Melbourne - South East,670247.0,791706.6,481818.2,393.0141,611303.3,180403.29999999993,188428.8,47.12080000000003
213,399.5815,Melbourne - West,577237.4,687671.6,428116.4,372.3745,514755.9,172915.69999999995,149121.0,27.206999999999994
214,494.9447,Mornington Peninsula,936656.6,1023905.0,576289.9,393.0581,632512.3,391392.69999999995,360366.69999999995,101.88659999999999
215,327.8236,North West,308362.3,291906.0,217322.2,260.5857,236766.6,55139.399999999994,91040.09999999998,67.23790000000002
216,352.5245,Shepparton,405856.4,394344.8,283495.8,286.9887,280283.6,114061.20000000001,122360.60000000003,65.5358
217,380.8013,Warrnambool And South West,471620.0,446452.4,308277.1,290.0352,304426.4,142026.0,163342.90000000002,90.76610000000005
